predicted,checked,count
potência,outro,26
velocidade do vento,outro,17
potência,velocidade do vento,17
velocidade do vento,potência,14
outro,potência,4
outro,velocidade do vento,4
potência,potência,3
velocidade do vento,velocidade do vento,3
outro,outro,2
